platform,komentar,timestamp
youtube,"Motivasinya kepanjangan gg ada isi. 
Gini aja yg simpel :
 ""kalo mau sukses kompetisi, gunakan orang dalam (bapak & paman)"" ",2025-05-01 19:19:23
youtube,"Sedikit solusi buat tim komunikasi pak wapres kita ini, biarin aja beliau ngurus hal yang bener dia paham dan beneran dia tau terus kembangin. Ga usah di paksakan, ke ilmu yang ga dia paham.",2025-05-01 19:19:23
youtube,"biasakan yg kesini pause video, dislike, baca komentar2, report, pergi dan lupakan orang yg ada di video.
isinya ngak ngok ngak ngok.
mission complete",2025-05-01 19:19:23
youtube,ERA Suram sepanjang sejarah negara indonesia. Ambyar!,2025-05-01 19:19:23
youtube,"mas wapres jangan tutup channel yaa..ditunggu konten selanjutnya, soalnya saya suka banget dengan komen komen nya",2025-05-01 19:19:23
youtube,"LANJUTKAN ANAK MUDA , MANTAB PAK WAKIL PRESIDEN",2025-05-01 19:19:23
youtube,Bisa gak wapres diganti AI ,2025-05-01 19:19:27
youtube,"Tips sukses untuk anak muda walaupun tanpa skills: 
1: Pastikan Ayahmu seorang pejabat
2: Pastikan Ayahmu bisa merubah aturan atau undang undang
3: silahkan lanjutkan yang mau nambahin",2025-05-01 19:19:27
youtube,"Saya mampir kesini cuma liat komentar, alhamdulillah stress pekerjaan berkurang. Makasih netizen.",2025-05-01 19:19:27
youtube,"Bran, mbok sekali -kali bikin acara di kampus2, bikin seminar kek opo gawe acara diskusi sama mahasiswa,Ben awakmu Kuwi di gaji rakyat Ono gunane sitek.",2025-05-01 19:19:27
youtube,"Sebuah motivasi dan inspirasi hidup.. Hidup ini bukan tentang siapa diri Anda , tetapi yang PALING PENTING SIAPA BAPAK ANDA...",2025-05-01 19:19:27
youtube,berjuang sendiri cari pekerjaan sendiri tanpa bantuan orang tua ... bangga nya diri ku mendapatkan pekerjaan tanpa bantuan orang tua dan tidak membayar orang dalam Alhamdulillah berkah.. untuk ank2 muda jangan meniru hal yg salah d melanggar ,2025-05-01 19:19:27
youtube,"Mendengarkan gibran ngomong 
Membaca komen netizen ️",2025-05-01 19:19:27
youtube,"Penulisan nya bagus. Saya memuji sosok dibelakang yg menulis ini. 
Itu aja sih, simpel sederhana gak neko-neko.",2025-05-01 19:19:27
youtube,"Benar2 cerdas dan patut jadi contoh terbaik bagi generasi muda

Terimakasih Bapak Prof Dr BJ Habibie",2025-05-01 19:19:27
youtube,Bangga punya wapres yg pinter dan ahli ekonomi. Terima kasih sebesar2nya untuk mu alm.Mohammad Hatta.,2025-05-01 19:19:27
youtube,"Tata cara nonton video Mas Gibran :
1. Buka videonya
2. Dislike
3. Pause
4. Baca komennya

Selamat mencoba ",2025-05-01 19:19:27
youtube,"Ayo pak ,Monggo komentarnya dibaca satu-satu nggih",2025-05-01 19:19:27
youtube,Bonus demografi: Kerjaan dicarikan orang tua ,2025-05-01 19:19:27
youtube,"Setelah bandingin video si wapres dengan video bang Ferry Irwandi, it's crazy to think. Kapasitas seorang wapres dan kapasitas seorang sipil bisa segini jauhnya. Inkompetensi yang luar biasa di jabatan yang begitu strategis. Thanks bro Ferry Irwandi, you've shown your level and capacity.",2025-05-01 19:19:27
youtube,bang fufufafa bikin teks naskah pake chatgpt apa gemini?,2025-05-01 19:19:27
youtube,"Mantap Gibran ,maju terus ,Indonesia maju di tanganmu.amin",2025-05-01 19:19:27
youtube,"Luar biasa dedikasinya untuk bangsa ini, semangat juang yang tak kenal menyerah dan khazanah keilmuan yang tiada duanya. Ilmu kelas dunia yang diraih dari kuliah luar negeri bisa diaplikasikan dengan sangat mengagumkan. Terima kasih Eyang BJ Habibie",2025-05-01 19:19:27
youtube,"Peluang besar dari bonus demografi jika tingkat SDM Indonesia kualitas tinggi sedangkan sekarang pengangguran sekitar 7 JT lebih, lapangan pekerjaan makin sempit, pendidikan makin sulit dan belum merata. Percuma terus gembor bonus demografi sedangkan tatanan birokrasi dan korupsi masih melekat di setiap pejabat dan rakyat makin tercekik dengan ekonomi Indonesia yang semakin sulit. 

Semoga Indonesia Bisa cerah suatu saat nanti",2025-05-01 19:19:27
youtube,"setelah saya Lulus Kuliah, saya mencari kerja sendiri dengan masukan Lamaran di Perusahan”
alhamdulillah ada Panggilan, dengan hasil kerja keras sendiri tanpa bantuan alm Bapak.",2025-05-01 19:19:27
youtube,"Kalau yang sanggup nonton video monolog ini  sampai akhir , berarti tergolong orang yang luar biasa tingkat kesabarannya .................. Goolll   gooolllll gooolllll gooolllll.",2025-05-01 19:19:27
youtube,"Bonus demografi 
Bonus dari bapak 
Bonus dari paman ",2025-05-01 19:19:31
youtube,"Oh, ini dia nih, Pak Wapres kita yang 'lahir dari keberuntungan' ..berani kasih wejangan soal bonus demografi pas doorstop?. 
Padahal, beliau kan jadi wapres contoh nyata 'perjuangan' anak muda jalur VIP, bukan lewat keringat... inspiratif sekali buat kita yang nggak punya bapak 'level dewa' .  Ini pasti tulus demi masa depan bangsa, bukan cuma buat 'pemanasan' jelang pilpres! ",2025-05-01 19:19:31
youtube,"Bang mending aktif lagi di kaskus, lebih natural (saran aja)",2025-05-01 19:19:31
youtube,Gibran...pemimpin masa depan Indonesia ... gak salah saya pilih anda...Maju Terus!,2025-05-01 19:19:31
youtube,"Padat, berbobot, faktual, full daging

Terbaik emang videonya Ferry Irwandi ",2025-05-01 19:19:31
youtube,"Harus banyak belajar dengan Beliau, gimana caranya bisa punya rasa ga tau malu kaya gini",2025-05-01 19:19:31
youtube,Anda tanpa Bapak Anda hanyalah Mas Mas biasa.,2025-05-01 19:19:31
youtube,"Terkhusus buat mas gibran !!!!
Yang perlu dilakukan saat ini adalah, bagaimana cara memperbanyak lapangan pekerjaan yang fulu dijanjikan kepada masyarakat.
Serta perhatikan sudah berapa banyak yang sudah di PHK.",2025-05-01 19:19:31
youtube,"Saran gw bwt yutup, ini video jangan sampe ditekdon ya, biarin rakyat melepaskan gairah keresahannya disini ",2025-05-01 19:19:31
youtube,"Bisa di lihat dari Koment dan Dislike, Betapa Kecewanya Masyarakat Saat ini. Masa gini doang badan statistik Nasional gak bisa lihat si... Luar biasa emang negara ini",2025-05-01 19:19:31
youtube,Anak manja lagi ceramahin kita kita yang berjuang untuk hidup dengan hasil jerih payah dan keringat sendiri tanpa bantuan bapak apalagi paman.,2025-05-01 19:19:31
youtube,Mantap lanjutkan semoga selalu dalam lindungan Allah SWT,2025-05-01 19:19:32
